Datetime,女八九舍(含女九餐廳),女五舍,女一舍,女三舍,女二舍,鹿鳴雅舍
2026-01-01 00:00:00,34.07,9.67,21.24,19.46,23.77,
2026-01-01 01:00:00,40.6,10.16,20.74,23.48,24.29,
2026-01-01 02:00:00,51.54,10.36,21.59,22.96,44.04,
2026-01-01 03:00:00,45.5,8.73,22.42,18.33,55.47,
2026-01-01 04:00:00,34.52,7.49,23.37,16.66,116.0,
2026-01-01 05:00:00,29.6,6.71,19.39,15.33,61.96,
2026-01-01 06:00:00,30.26,6.22,17.01,14.95,23.31,
2026-01-01 07:00:00,31.74,6.13,15.18,14.03,18.68,
2026-01-01 08:00:00,29.44,6.16,13.56,15.17,18.91,
2026-01-01 09:00:00,35.55,5.69,13.7,13.82,21.55,
2026-01-01 10:00:00,36.41,5.61,15.31,20.28,37.25,
2026-01-01 11:00:00,30.65,5.29,14.79,17.75,50.97,
2026-01-01 12:00:00,33.88,5.66,16.26,20.35,34.21,
2026-01-01 13:00:00,43.07,9.69,18.56,16.05,22.12,
2026-01-01 14:00:00,36.92,7.01,24.78,16.08,24.88,
2026-01-01 15:00:00,34.43,6.81,24.2,16.2,25.16,
2026-01-01 16:00:00,38.97,9.36,20.45,15.91,34.76,
2026-01-01 17:00:00,35.11,11.46,21.48,18.44,42.19,
2026-01-01 18:00:00,34.63,13.8,26.92,21.78,42.24,
2026-01-01 19:00:00,42.15,11.54,24.88,24.85,43.36,
2026-01-01 20:00:00,39.98,9.04,31.9,29.29,47.95,
2026-01-01 21:00:00,48.06,9.05,34.7,26.6,103.92,
2026-01-01 22:00:00,49.99,13.54,34.73,23.23,111.83,
2026-01-01 23:00:00,46.44,16.01,34.64,27.23,50.64,
2026-01-02 00:00:00,60.54,9.57,33.62,31.67,33.54,
2026-01-02 01:00:00,46.96,12.02,28.07,22.15,118.49,
2026-01-02 02:00:00,46.61,10.38,23.19,21.29,86.22,
2026-01-02 03:00:00,33.07,6.4,23.36,15.88,31.5,
2026-01-02 04:00:00,29.12,7.07,20.37,15.47,19.71,
2026-01-02 05:00:00,32.56,6.33,18.43,15.06,20.79,
2026-01-02 06:00:00,34.52,6.14,17.06,13.81,18.58,
2026-01-02 07:00:00,40.11,5.34,13.11,13.2,30.75,
2026-01-02 08:00:00,43.74,5.09,14.22,13.0,36.06,
2026-01-02 09:00:00,51.26,5.21,14.2,13.51,39.7,
2026-01-02 10:00:00,49.26,5.79,15.25,14.19,58.85,
2026-01-02 11:00:00,59.04,6.18,16.0,19.88,21.26,
2026-01-02 12:00:00,55.78,6.3,20.28,20.73,21.87,
2026-01-02 13:00:00,37.07,6.81,20.03,17.06,22.12,
2026-01-02 14:00:00,37.25,8.65,21.85,18.41,40.2,
2026-01-02 15:00:00,42.45,8.91,20.35,19.4,55.52,
2026-01-02 16:00:00,46.91,9.59,25.16,18.37,60.44,
2026-01-02 17:00:00,44.78,9.83,22.63,17.81,48.1,
2026-01-02 18:00:00,42.2,8.53,23.43,17.99,22.31,
2026-01-02 19:00:00,40.51,10.31,25.65,19.85,24.77,
2026-01-02 20:00:00,36.6,11.14,24.44,25.79,78.88,
2026-01-02 21:00:00,42.8,9.93,24.5,23.3,134.82,
2026-01-02 22:00:00,50.63,11.11,29.7,41.26,59.77,
2026-01-02 23:00:00,52.52,15.44,31.79,32.48,36.31,
2026-01-03 00:00:00,47.83,11.35,29.23,29.44,146.13,
2026-01-03 01:00:00,37.53,9.13,26.56,26.63,61.0,
2026-01-03 02:00:00,39.61,9.01,26.0,18.57,25.7,
2026-01-03 03:00:00,30.09,9.62,23.1,15.1,20.07,
2026-01-03 04:00:00,26.83,6.21,16.21,13.85,19.15,
2026-01-03 05:00:00,25.46,6.68,16.08,17.28,33.01,
2026-01-03 06:00:00,30.04,5.32,13.73,12.67,48.88,
2026-01-03 07:00:00,27.95,4.88,13.5,11.86,47.96,
2026-01-03 08:00:00,26.31,4.9,15.11,13.8,18.67,
2026-01-03 09:00:00,27.25,5.18,14.34,13.4,18.94,
2026-01-03 10:00:00,30.44,5.96,15.39,13.12,20.88,
2026-01-03 11:00:00,36.41,7.52,17.44,17.89,51.86,
2026-01-03 12:00:00,35.43,10.26,17.8,21.08,51.48,
2026-01-03 13:00:00,34.64,8.26,19.55,16.81,115.01,
2026-01-03 14:00:00,32.99,6.88,17.02,21.97,58.63,
2026-01-03 15:00:00,33.38,8.24,19.04,22.44,21.36,
2026-01-03 16:00:00,36.27,6.23,19.21,25.26,23.54,
2026-01-03 17:00:00,34.57,8.49,24.85,23.02,24.52,
2026-01-03 18:00:00,35.55,12.8,22.67,20.27,27.14,
2026-01-03 19:00:00,33.74,11.29,24.59,19.14,50.41,
2026-01-03 20:00:00,42.7,9.02,25.57,22.21,57.79,
2026-01-03 21:00:00,51.66,14.27,27.14,25.98,39.34,
2026-01-03 22:00:00,62.06,10.64,36.66,25.32,75.58,
2026-01-03 23:00:00,59.02,9.98,30.16,26.22,135.59,
2026-01-04 00:00:00,50.86,11.67,22.85,31.53,47.96,
2026-01-04 01:00:00,39.89,10.31,22.61,25.53,26.0,
2026-01-04 02:00:00,38.95,11.31,20.34,20.25,20.79,
2026-01-04 03:00:00,29.55,7.15,18.03,17.12,19.8,
2026-01-04 04:00:00,26.5,6.57,16.07,14.65,46.53,
2026-01-04 05:00:00,25.41,6.16,15.23,13.66,47.89,
2026-01-04 06:00:00,27.09,6.22,13.16,12.88,30.68,
2026-01-04 07:00:00,30.22,7.17,18.09,12.69,102.06,
2026-01-04 08:00:00,28.12,5.03,15.98,14.65,82.06,
2026-01-04 09:00:00,29.57,7.22,16.64,14.23,30.54,
2026-01-04 10:00:00,37.63,8.48,13.76,15.91,23.69,
2026-01-04 11:00:00,39.23,8.99,14.44,16.45,23.25,
2026-01-04 12:00:00,35.23,7.4,18.43,16.22,24.49,
2026-01-04 13:00:00,35.76,5.89,18.54,19.24,22.53,
2026-01-04 14:00:00,33.8,6.27,16.71,25.68,39.54,
2026-01-04 15:00:00,36.47,7.03,21.19,19.0,55.97,
2026-01-04 16:00:00,35.57,,20.17,15.03,35.28,
2026-01-04 17:00:00,35.82,,22.58,18.06,24.19,
2026-01-04 18:00:00,39.19,,25.42,21.93,29.76,
2026-01-04 19:00:00,35.17,,25.1,25.52,25.37,
2026-01-04 20:00:00,50.21,,30.03,27.53,31.58,
2026-01-04 21:00:00,64.27,,33.44,30.48,63.76,
2026-01-04 22:00:00,62.26,,36.71,35.82,131.0,
2026-01-04 23:00:00,68.15,,32.88,32.17,103.62,
2026-01-05 00:00:00,50.92,,30.59,27.88,36.3,
2026-01-05 01:00:00,42.5,,23.21,24.81,43.0,
2026-01-05 02:00:00,38.33,,23.07,17.56,144.98,
2026-01-05 03:00:00,31.54,,20.27,16.65,54.34,
2026-01-05 04:00:00,28.03,,19.15,15.82,21.84,
2026-01-05 05:00:00,25.62,,17.17,14.55,19.61,
2026-01-05 06:00:00,30.65,,14.32,13.37,18.8,
2026-01-05 07:00:00,43.69,,15.86,12.24,18.52,
2026-01-05 08:00:00,41.01,,14.24,12.95,44.1,
2026-01-05 09:00:00,46.58,,14.98,13.16,49.27,
2026-01-05 10:00:00,52.49,,15.86,12.41,24.46,
2026-01-05 11:00:00,58.53,,16.28,14.46,20.47,
2026-01-05 12:00:00,53.6,,19.33,19.75,25.44,
2026-01-05 13:00:00,42.18,,17.05,19.91,22.28,
2026-01-05 14:00:00,31.87,,17.43,15.53,48.9,
2026-01-05 15:00:00,42.49,,17.58,16.67,52.32,
2026-01-05 16:00:00,46.64,,21.34,16.43,27.75,
2026-01-05 17:00:00,55.26,,19.55,17.01,26.6,
2026-01-05 18:00:00,53.2,,22.01,19.69,28.61,
2026-01-05 19:00:00,47.36,,26.08,22.19,30.59,
2026-01-05 20:00:00,45.27,11.61,29.84,25.52,57.56,
2026-01-05 21:00:00,60.76,16.88,31.19,30.08,117.72,
2026-01-05 22:00:00,66.43,17.43,29.16,33.33,116.4,
2026-01-05 23:00:00,61.35,17.88,31.29,29.17,97.13,
2026-01-06 00:00:00,62.08,13.39,37.44,28.21,116.8,
2026-01-06 01:00:00,42.64,9.97,32.5,26.71,36.62,
2026-01-06 02:00:00,33.15,8.05,22.22,19.12,24.91,
2026-01-06 03:00:00,29.42,6.4,17.57,20.73,21.21,
2026-01-06 04:00:00,27.12,5.78,15.62,14.72,24.32,
2026-01-06 05:00:00,25.9,5.63,15.03,14.66,48.46,
2026-01-06 06:00:00,29.26,5.2,13.41,20.83,47.61,
2026-01-06 07:00:00,38.58,5.12,13.91,12.63,22.42,
2026-01-06 08:00:00,41.69,5.77,20.0,12.91,20.51,
2026-01-06 09:00:00,48.88,6.46,17.78,13.73,82.78,
2026-01-06 10:00:00,54.47,6.3,18.67,12.58,107.31,
2026-01-06 11:00:00,59.38,9.28,18.58,13.93,41.7,
2026-01-06 12:00:00,48.12,6.56,18.41,18.02,30.35,
2026-01-06 13:00:00,41.51,8.36,17.98,18.69,22.89,
2026-01-06 14:00:00,32.53,6.54,19.35,21.07,21.84,
2026-01-06 15:00:00,45.99,6.5,23.76,22.83,33.11,
2026-01-06 16:00:00,51.64,9.57,33.74,20.51,55.49,
2026-01-06 17:00:00,52.92,10.69,25.9,24.98,60.5,
2026-01-06 18:00:00,50.07,9.25,26.13,17.86,36.64,
2026-01-06 19:00:00,49.88,13.13,23.2,22.73,27.06,
2026-01-06 20:00:00,44.05,13.05,24.85,21.03,32.91,
2026-01-06 21:00:00,52.65,16.77,24.17,30.18,50.56,
2026-01-06 22:00:00,52.83,14.45,26.84,33.89,168.74,
2026-01-06 23:00:00,58.4,10.2,30.39,27.28,88.76,
2026-01-07 00:00:00,54.97,15.53,37.5,27.23,155.52,
2026-01-07 01:00:00,46.66,11.68,29.48,22.71,67.54,
2026-01-07 02:00:00,34.29,6.56,24.5,19.04,36.36,
2026-01-07 03:00:00,31.34,5.64,17.95,16.0,20.98,
2026-01-07 04:00:00,29.85,5.51,16.39,13.72,20.67,
2026-01-07 05:00:00,27.0,5.3,15.15,13.29,34.98,
2026-01-07 06:00:00,26.78,4.86,12.48,12.8,49.83,
2026-01-07 07:00:00,40.07,4.84,13.01,11.89,44.56,
2026-01-07 08:00:00,38.85,6.29,14.11,12.28,20.06,
2026-01-07 09:00:00,42.88,6.32,17.01,12.71,22.57,
2026-01-07 10:00:00,44.03,7.59,15.5,13.2,43.73,
2026-01-07 11:00:00,48.47,5.7,20.57,13.32,153.4,
2026-01-07 12:00:00,46.36,6.24,20.25,16.78,69.58,
2026-01-07 13:00:00,39.82,6.57,16.12,19.28,34.15,
2026-01-07 14:00:00,36.41,7.51,17.45,21.05,25.14,
2026-01-07 15:00:00,43.5,9.57,15.59,19.85,29.02,
2026-01-07 16:00:00,51.52,9.49,21.05,21.46,34.58,
2026-01-07 17:00:00,55.1,9.08,18.65,16.95,54.86,
2026-01-07 18:00:00,50.6,9.48,18.71,18.28,60.77,
2026-01-07 19:00:00,45.43,15.95,21.22,19.51,48.15,
2026-01-07 20:00:00,51.65,13.01,26.26,19.88,30.66,
2026-01-07 21:00:00,56.18,14.7,23.86,21.82,52.67,
2026-01-07 22:00:00,62.28,16.49,25.36,29.52,161.96,
2026-01-07 23:00:00,71.35,14.3,31.95,24.29,69.71,
2026-01-08 00:00:00,54.44,14.68,32.47,24.78,99.1,
2026-01-08 01:00:00,41.19,8.8,28.63,21.62,115.3,
2026-01-08 02:00:00,36.97,6.98,19.02,20.29,38.42,
2026-01-08 03:00:00,29.34,6.2,16.98,16.47,21.58,
2026-01-08 04:00:00,25.99,5.92,15.83,17.42,103.71,
2026-01-08 05:00:00,26.53,6.51,15.15,14.32,97.13,
2026-01-08 06:00:00,26.7,6.3,13.78,12.49,29.66,
2026-01-08 07:00:00,37.66,5.5,12.84,12.77,18.64,
2026-01-08 08:00:00,43.53,5.95,13.79,15.36,20.02,
2026-01-08 09:00:00,45.88,6.83,13.43,11.99,19.59,
2026-01-08 10:00:00,52.3,7.56,14.35,12.67,45.67,
2026-01-08 11:00:00,50.64,7.13,14.67,13.75,53.65,
2026-01-08 12:00:00,52.3,8.26,16.2,14.91,43.19,
2026-01-08 13:00:00,37.29,6.39,18.75,15.72,23.55,
2026-01-08 14:00:00,31.08,11.37,22.01,15.22,74.67,
2026-01-08 15:00:00,39.41,7.98,22.31,22.15,54.69,
2026-01-08 16:00:00,47.0,10.07,20.46,25.93,22.13,
2026-01-08 17:00:00,49.81,8.07,23.65,21.49,25.23,
2026-01-08 18:00:00,49.96,9.93,20.42,24.32,39.31,
2026-01-08 19:00:00,46.23,8.4,22.24,20.51,58.43,
2026-01-08 20:00:00,43.66,9.95,20.31,23.35,45.91,
2026-01-08 21:00:00,53.97,13.63,30.43,21.41,96.35,
2026-01-08 22:00:00,60.07,14.08,28.83,25.59,124.23,
2026-01-08 23:00:00,61.07,10.33,25.0,24.22,54.51,
2026-01-09 00:00:00,59.64,13.94,31.43,21.68,128.52,
2026-01-09 01:00:00,44.51,8.83,23.06,20.06,81.33,
2026-01-09 02:00:00,30.92,6.42,23.86,17.75,20.69,
2026-01-09 03:00:00,26.69,6.05,23.03,16.44,21.39,
2026-01-09 04:00:00,26.65,6.13,13.13,13.51,30.97,
2026-01-09 05:00:00,26.91,6.09,13.24,16.34,48.15,
2026-01-09 06:00:00,27.24,5.11,12.01,19.37,40.41,
2026-01-09 07:00:00,39.61,5.07,12.53,12.51,15.57,
2026-01-09 08:00:00,39.31,5.55,12.77,11.91,27.08,
2026-01-09 09:00:00,48.35,6.0,12.41,12.63,117.19,
2026-01-09 10:00:00,46.12,5.48,17.22,12.48,81.79,
2026-01-09 11:00:00,49.91,6.4,14.66,14.89,21.87,
2026-01-09 12:00:00,53.3,5.71,14.13,20.76,22.11,
2026-01-09 13:00:00,41.2,5.6,16.06,22.02,27.04,
2026-01-09 14:00:00,35.84,6.06,15.36,18.41,48.01,
2026-01-09 15:00:00,36.95,5.58,22.06,19.58,53.53,
2026-01-09 16:00:00,47.36,7.59,22.72,14.23,57.04,
2026-01-09 17:00:00,53.07,9.9,18.48,15.89,31.45,
2026-01-09 18:00:00,48.31,9.9,19.87,20.04,24.48,
2026-01-09 19:00:00,40.57,10.1,24.22,25.14,26.96,
2026-01-09 20:00:00,37.13,10.91,27.97,20.94,41.82,
2026-01-09 21:00:00,45.89,16.67,31.38,31.85,65.04,
2026-01-09 22:00:00,56.37,17.94,31.9,30.86,83.08,
2026-01-09 23:00:00,48.97,11.2,26.68,30.02,133.82,
2026-01-10 00:00:00,64.29,8.73,25.43,24.65,62.04,
2026-01-10 01:00:00,47.65,8.59,21.48,20.77,62.4,
2026-01-10 02:00:00,34.02,10.25,18.35,16.7,122.08,
2026-01-10 03:00:00,26.46,6.54,16.54,14.24,57.86,
2026-01-10 04:00:00,28.58,9.25,15.21,13.75,18.74,
2026-01-10 05:00:00,25.95,5.65,14.85,15.26,21.65,
2026-01-10 06:00:00,25.01,5.0,12.93,14.26,23.66,
2026-01-10 07:00:00,28.83,5.27,13.61,11.18,50.64,
2026-01-10 08:00:00,31.32,7.75,15.52,12.74,46.85,
2026-01-10 09:00:00,33.65,6.0,15.97,12.46,19.15,
2026-01-10 10:00:00,32.53,5.81,14.31,13.11,20.48,
2026-01-10 11:00:00,45.88,5.35,16.26,15.68,21.64,
2026-01-10 12:00:00,35.1,5.13,15.99,14.6,46.04,
2026-01-10 13:00:00,31.42,5.72,17.47,15.14,50.95,
2026-01-10 14:00:00,31.15,5.38,18.26,19.67,19.4,
2026-01-10 15:00:00,32.76,6.09,24.11,21.39,21.99,
2026-01-10 16:00:00,30.33,9.31,18.34,21.0,22.36,
2026-01-10 17:00:00,35.58,7.12,25.01,17.18,53.87,
2026-01-10 18:00:00,35.64,12.04,21.38,17.16,58.8,
2026-01-10 19:00:00,42.15,13.05,22.23,21.02,42.24,
2026-01-10 20:00:00,34.24,11.19,25.34,26.72,89.64,
