Datetime,新數學研究中心,-新生大樓-,生化所,電機一館,化學館,貴儀中心氦液化機用電,化學館(不含貴儀中心氦液化機用電),積學館,博雅館,思亮館,-原分所-,凝態物理科學館,心理南研究大樓,心理系北館,應用力學研究大樓,工學院綜合大樓,全球變遷中心,海洋研究所,普通大樓,小福樓,化學工程館,土木館,農業陳列館,人類學博物館,樂學館,三號館,-電子顯微鏡館-,物理系液氮機室,-城鄉所-,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,植物溫室,植物標本館,二號館,2號館1F,2號館2F,2號館3F,農化系食品工廠,化工光電晶體實驗室,生醫材料(陶瓷)實驗室,綠色化學實驗室,望樂樓,農化系實驗室,夜間部大樓,四號館,五號館,農綜館,植物工廠,共同教室,農產品中心,生工系實驗室,農化系土壤研究室,森林館,水工試驗所,水工試驗所馬達房,保健中心,林產館,航空測量館,管理學院教學館,原教堂(藝文中心),水工大樓,園藝系花卉館,資訊工程館,-機械臨時工廠-,電機二館,聯合研究中心,獸醫一館,獸醫三館,志鴻館,機械舊館,綜合教室,圖書資訊館,第一活動中心,農藝館,鄭江樓北棟化工系(不含大公),鄭江樓南棟生機系(不含公共),鄭江樓南棟空調,鄭江樓南棟公共(揚水、電梯),鄭江樓事務組,鄭江樓大公(雨廢水、消防),學新館,農機館,中非大樓,博理館,社會研究所停車場,社會研究所,國發所停車場,國家發展所大樓,新聞所停車場,新聞所大樓,漁業科學館,視聽教育館,語言大樓,霖澤館停車場,霖澤館,社科院大樓總錶,萬才館停車場,萬才館,水源溫室,機械工廠,澄思樓,輔具中心,育成大樓(水源),理化大樓(水源),卓越研究大樓,學生第二活動中心,管院二號館,戲劇廳（鹿嗚堂二樓）,鹿鳴堂一樓,食科館,園產加工廠,食科所食品研發大樓,大氣系A、B館
2026-01-01 00:00:00,0.81,10.97,66.4,54.66,220.37,1.0,219.37,281.79,23.43,36.37,304.25,597.76,6.06,25.0,106.22,149.56,73.88,101.2,8.73,1.75,72.69,26.44,1.75,88.91,4.71,54.25,6.52,0.09,,2.94,19.63,54.33,1.19,1.25,0.0,3.2,2.53,93.51,3.91,20.71,64.03,3.71,,,,2.13,10.48,,37.96,11.45,17.32,1.81,37.75,4.64,1.17,8.48,23.53,7.88,0.05,5.44,12.51,4.62,,,,23.56,268.75,0.0,437.56,29.59,67.28,22.31,,,0.0,11.15,37.46,46.6,186.71,,17.56,0.77,1.68,0.55,128.32,52.19,2.75,145.54,0.83,13.62,1.95,11.61,1.21,14.23,,8.75,23.24,1.49,20.26,150.25,,,,,4.07,0.0,,,383.88,40.71,34.04,,,52.46,17.43,19.81,28.85
2026-01-01 01:00:00,0.81,10.87,67.28,54.78,218.77,1.06,217.71,281.29,22.25,35.04,309.68,594.95,5.75,24.88,104.09,148.37,74.18,97.39,8.94,1.75,72.63,26.25,1.81,85.39,5.26,53.82,6.71,0.1,,3.0,19.13,55.03,1.09,1.3,0.0,3.26,2.85,92.52,3.59,20.87,63.5,3.7,,,,2.15,9.99,,34.53,10.58,17.11,2.25,37.39,4.7,1.16,8.74,23.78,7.81,0.05,4.87,11.72,4.44,,,,23.91,266.38,0.0,437.82,29.44,64.72,21.88,,,0.0,10.47,39.9,45.45,188.15,,0.81,0.76,1.71,0.51,126.12,51.82,2.81,147.53,0.81,13.07,1.97,11.65,1.21,14.03,,11.56,21.82,1.5,20.72,188.62,,,,,4.18,0.0,,,393.81,38.32,32.66,,,50.32,16.82,19.31,29.24
2026-01-01 02:00:00,0.82,10.63,66.0,54.87,221.22,1.32,219.9,278.72,22.31,34.93,308.19,592.3,4.44,24.62,101.85,146.5,72.8,99.26,10.01,1.72,72.06,24.56,1.75,88.45,4.9,53.25,6.33,0.1,,3.0,19.3,55.2,1.05,1.29,0.0,3.2,3.09,91.24,3.59,20.46,63.08,3.59,,,,2.19,10.34,,33.42,10.47,15.32,2.94,36.14,4.87,1.12,8.75,23.63,8.01,0.04,3.81,11.78,4.25,,,,22.91,260.06,0.0,431.94,29.47,67.09,22.62,,,0.0,10.49,39.46,44.07,184.8,,0.75,0.74,1.68,0.59,127.69,50.0,2.81,140.22,0.81,12.93,1.97,11.38,1.21,14.87,,11.32,21.62,1.51,18.61,131.81,,,,,4.63,0.0,,,398.5,39.21,30.84,,,51.31,16.31,19.75,28.33
2026-01-01 03:00:00,0.81,10.34,63.72,54.19,220.07,1.0,219.07,279.18,22.5,35.37,302.19,582.69,4.37,23.63,100.72,145.07,71.96,96.92,9.21,1.75,71.31,23.25,1.75,87.98,4.51,54.41,6.65,0.1,,2.88,17.88,54.46,1.08,1.3,0.0,3.45,2.9,91.77,3.97,20.32,62.86,3.43,,,,2.19,10.62,,34.01,10.59,15.31,2.94,37.33,4.65,1.1,8.75,23.52,7.74,0.05,3.81,11.88,4.18,,,,23.0,259.44,0.0,427.0,29.38,66.59,22.5,,,0.0,10.63,39.18,45.05,187.5,,0.75,0.74,1.67,0.51,126.44,49.74,2.88,142.96,0.81,12.79,1.97,12.21,1.21,14.95,,11.18,21.72,1.52,17.89,126.75,,,,,4.19,0.0,,,372.25,38.4,31.79,,,50.64,16.94,24.13,28.15
2026-01-01 04:00:00,0.81,10.41,65.72,54.41,220.95,3.31,217.64,276.82,22.64,34.94,300.31,584.31,4.31,24.0,101.43,147.0,73.49,99.32,9.84,1.72,72.38,23.25,1.56,82.03,4.5,53.58,6.37,0.1,,2.93,18.25,54.73,1.05,1.22,0.0,3.51,2.88,90.63,3.88,20.49,61.97,3.41,,,,2.06,10.05,,33.3,10.42,15.37,2.87,36.14,4.66,1.14,8.57,23.92,7.81,0.05,3.88,11.75,4.2,,,,23.5,258.31,0.0,431.06,29.43,68.0,22.88,,,0.0,11.04,38.67,44.82,185.61,,0.75,0.76,1.97,0.55,127.75,50.51,2.87,142.82,0.8,12.41,1.97,11.93,1.21,14.61,,11.19,21.44,1.85,17.46,171.63,,,,,3.87,0.0,,,405.13,38.5,30.15,,,50.5,15.62,25.87,28.18
2026-01-01 05:00:00,0.81,10.53,65.22,54.44,219.02,1.25,217.77,278.29,24.3,35.47,301.81,588.52,4.25,23.62,99.63,145.18,72.67,95.33,10.18,1.75,70.5,22.13,1.69,82.76,4.5,53.63,6.37,0.11,,2.88,18.26,55.11,0.99,1.32,0.0,3.76,2.85,90.6,3.41,20.69,62.15,3.56,,,,2.19,10.33,,32.98,10.98,16.51,3.75,35.83,4.73,1.09,8.71,23.71,7.85,0.04,4.12,11.7,3.8,,,,23.31,259.56,0.0,419.75,29.47,65.5,22.43,,,0.0,10.84,38.83,45.22,184.52,,0.81,0.73,2.95,0.53,127.18,50.05,2.82,143.25,0.81,12.97,1.97,13.2,1.21,14.87,,11.19,22.03,1.52,16.76,144.56,,,,,3.75,0.0,,,373.18,43.6,30.31,,,49.18,15.63,19.63,27.68
2026-01-01 06:00:00,0.82,10.34,64.25,55.12,221.19,1.0,220.19,276.6,24.19,35.66,294.85,581.24,4.13,23.69,101.41,145.07,71.1,91.77,10.35,1.5,70.43,22.06,1.63,73.87,3.87,53.69,6.36,0.09,,2.91,18.93,55.33,0.97,1.37,0.0,4.19,2.69,90.09,3.56,20.48,61.64,3.63,,,,2.19,10.74,,33.26,10.49,15.22,3.38,36.01,4.84,1.1,8.69,24.29,7.9,0.05,3.76,11.86,3.45,,,,23.25,258.94,0.0,419.63,29.56,66.19,22.75,,,0.0,10.38,38.85,46.71,192.76,,11.44,0.74,2.95,0.54,128.07,49.32,2.43,141.31,0.82,11.99,1.97,8.71,1.2,14.28,,14.31,23.31,1.49,16.61,170.94,,,,,4.0,0.0,,,402.88,44.17,29.75,,,47.85,15.31,20.87,27.51
2026-01-01 07:00:00,0.81,9.28,63.78,54.91,217.76,1.06,216.7,276.64,25.0,34.53,293.12,582.29,4.19,23.81,98.81,146.37,70.51,90.43,10.28,1.4,69.88,22.0,1.87,82.39,3.47,53.85,6.36,0.06,,2.59,18.25,55.57,0.99,1.28,0.0,4.19,2.84,89.69,3.47,20.21,61.72,3.0,,,,2.22,13.05,,32.99,12.05,15.23,2.0,36.67,4.54,1.11,8.35,23.93,7.76,0.05,3.75,11.83,3.43,,,,23.31,264.75,0.0,413.19,29.53,67.84,31.32,,,0.0,10.06,35.53,46.41,226.86,,25.38,0.74,2.81,0.52,128.87,48.25,2.19,139.84,0.81,12.2,1.95,7.63,1.21,14.39,,52.06,22.88,1.7,16.77,140.0,,,,,3.94,0.0,,,394.56,40.58,29.4,,,47.63,16.56,19.5,26.97
2026-01-01 08:00:00,0.81,9.0,64.84,53.34,222.19,1.25,220.94,274.33,24.31,34.12,293.35,584.38,3.87,45.25,98.56,146.19,72.31,89.17,5.78,1.41,69.56,22.12,1.69,75.69,3.49,55.27,6.69,0.04,,2.72,19.56,56.51,0.96,1.31,0.0,4.2,2.93,89.68,3.72,20.3,61.38,3.62,,,,2.12,19.06,,35.71,12.03,15.21,3.62,35.93,4.77,1.09,8.12,23.88,7.81,0.04,3.88,11.77,3.5,,,,27.75,374.94,0.0,418.05,29.45,67.82,28.68,,,0.0,10.06,34.62,47.3,227.34,,22.5,0.72,1.47,0.37,131.63,47.31,2.19,142.78,0.81,11.81,1.97,2.18,1.22,14.41,,44.88,23.12,1.5,22.62,176.0,,,,,5.94,0.0,,,399.06,36.73,31.17,,,47.77,14.5,19.88,27.18
2026-01-01 09:00:00,0.81,9.25,65.38,54.41,219.16,1.0,218.16,278.73,22.5,34.25,288.06,584.8,3.88,40.63,100.34,147.44,72.88,90.08,4.56,1.4,71.63,21.94,1.75,83.07,3.21,55.7,6.59,0.04,,2.84,20.25,60.36,0.99,1.3,0.0,4.2,3.04,89.73,3.62,20.55,60.99,6.07,,,,2.12,17.27,,38.28,11.55,15.85,3.56,36.07,4.53,1.09,8.22,23.93,7.62,0.05,3.74,12.82,3.5,,,,27.63,339.25,0.0,412.45,29.53,66.68,31.0,,,0.0,10.5,33.73,46.91,228.24,,24.37,0.78,1.22,,135.37,47.88,2.12,143.19,0.8,11.52,1.97,,1.21,13.98,,43.56,22.62,1.5,22.47,191.56,,,,,6.93,0.0,,,408.32,38.34,31.59,,,48.55,15.19,20.0,26.67
