Datetime,校史館,舊總圖,農化二館暨行政大樓,大門口警衛室,職涯中心,學生心理輔導中心,行政大樓教務處資訊室,保管組倉庫,行政大樓前棟,行政大樓後棟,教學二期大樓(不含圖書館書庫),圖書館書庫,鄭江樓南棟6樓保管組(不含公共),鄭江樓南棟7樓保管組(不含公共),計資中心,行政大樓(水源)
2026-01-01 00:00:00,1.23,9.21,27.0,1.79,0.1,0.05,16.69,,3.14,29.79,20.13,67.41,,,366.82,
2026-01-01 01:00:00,1.21,9.45,27.19,1.84,0.09,0.05,17.77,,3.34,30.83,20.54,67.45,,,367.07,
2026-01-01 02:00:00,1.23,8.05,26.63,1.79,0.07,0.06,16.71,,3.4,29.45,21.08,67.4,,,366.51,
2026-01-01 03:00:00,1.3,9.27,26.62,1.79,0.09,0.05,17.08,,3.45,30.02,19.49,67.88,,,365.94,
2026-01-01 04:00:00,1.22,9.23,26.56,1.83,0.08,0.04,17.64,,3.34,30.25,26.18,67.22,,,364.16,
2026-01-01 05:00:00,1.22,9.39,26.5,1.74,0.1,0.05,16.83,,3.65,29.16,22.94,67.77,,,364.18,
2026-01-01 06:00:00,1.22,8.69,26.88,0.75,0.09,0.06,17.84,,3.51,29.1,21.74,70.18,,,362.13,
2026-01-01 07:00:00,1.22,9.14,26.94,0.65,0.08,0.05,16.95,,4.46,27.74,20.76,70.73,,,361.71,
2026-01-01 08:00:00,1.16,9.53,28.18,0.59,0.1,0.04,16.47,,4.27,27.84,22.9,70.43,,,361.67,
2026-01-01 09:00:00,1.15,7.67,28.69,0.61,0.07,0.04,16.35,,4.04,28.37,22.83,70.56,,,360.47,
2026-01-01 10:00:00,1.19,9.11,28.44,0.62,0.08,0.05,16.37,,4.04,28.49,23.32,70.29,,,360.92,
2026-01-01 11:00:00,1.15,8.68,28.0,0.63,0.08,0.04,16.39,,3.97,28.65,22.61,70.7,,,361.65,
2026-01-01 12:00:00,1.1,8.9,28.06,0.61,0.08,0.04,16.44,,3.98,28.58,23.45,70.33,,,360.7,
2026-01-01 13:00:00,1.16,8.39,29.13,0.61,0.08,0.04,16.34,,4.21,28.26,22.85,70.57,,,358.86,
2026-01-01 14:00:00,1.15,9.06,29.25,0.64,0.08,0.05,16.34,,3.98,28.56,23.11,70.24,,,360.24,
2026-01-01 15:00:00,1.16,9.06,29.81,0.57,0.1,0.04,16.29,,3.47,28.59,22.55,70.58,,,360.07,
2026-01-01 16:00:00,1.22,8.77,30.44,0.8,0.07,0.05,16.18,,4.4,28.54,22.57,70.23,,,357.62,
2026-01-01 17:00:00,1.27,10.17,30.18,1.64,0.09,0.05,16.25,,4.84,29.07,20.73,69.15,,,360.01,
2026-01-01 18:00:00,1.23,9.35,29.5,1.75,0.07,0.06,16.14,,4.07,28.31,21.46,67.04,,,357.44,
2026-01-01 19:00:00,1.21,10.18,28.25,1.8,0.1,0.04,16.13,,3.84,28.36,21.17,67.52,,,359.23,
2026-01-01 20:00:00,1.26,9.68,27.63,1.84,0.08,0.05,15.9,,3.63,28.01,20.93,67.21,,,357.75,
2026-01-01 21:00:00,1.21,9.55,27.06,1.76,0.07,0.06,15.9,,3.45,28.02,21.4,67.52,,,357.75,
2026-01-01 22:00:00,1.16,9.15,26.69,1.82,0.09,0.05,15.9,,3.4,27.86,20.24,67.39,,,356.79,
2026-01-01 23:00:00,1.22,9.91,26.37,1.8,0.08,0.04,15.96,,3.12,28.18,20.57,66.97,,,357.05,
2026-01-02 00:00:00,1.22,8.72,26.38,1.8,0.09,0.06,15.86,,3.2,28.98,19.89,67.53,,,357.19,
2026-01-02 01:00:00,1.22,9.5,26.19,1.81,0.09,0.05,15.99,,3.04,28.15,20.42,67.17,,,356.86,
2026-01-02 02:00:00,1.22,9.06,26.5,1.8,0.08,0.05,15.83,,3.03,27.95,20.93,66.97,,,359.43,
2026-01-02 03:00:00,1.21,8.88,25.68,1.8,0.09,0.05,15.92,,3.44,28.88,20.11,67.53,,,357.91,
2026-01-02 04:00:00,1.23,9.35,26.0,1.81,0.09,0.06,15.93,,3.14,28.44,24.85,66.81,,,358.55,
2026-01-02 05:00:00,1.21,8.74,25.75,1.77,0.08,0.04,15.88,,3.77,28.42,22.39,67.94,,,358.18,
2026-01-02 06:00:00,1.26,8.87,26.32,0.75,0.08,0.07,15.71,,3.92,27.48,21.47,69.94,,,356.86,
2026-01-02 07:00:00,1.34,9.46,29.25,0.61,0.08,0.04,15.27,,5.59,33.13,21.82,68.73,,,355.43,
2026-01-02 08:00:00,2.99,10.52,34.62,0.65,0.12,0.63,16.18,,11.64,59.76,26.86,74.66,,,363.56,
2026-01-02 09:00:00,8.35,12.8,35.94,0.63,0.14,0.76,15.82,,13.93,58.53,29.78,78.16,,,363.81,
2026-01-02 10:00:00,8.66,15.28,38.56,0.59,0.29,0.92,15.54,,12.61,57.06,30.31,93.66,,,367.0,
2026-01-02 11:00:00,8.96,15.75,40.56,0.65,0.42,1.05,15.68,,11.98,59.53,29.31,80.84,,,366.44,
2026-01-02 12:00:00,8.66,13.87,36.63,0.63,0.57,1.21,15.69,,11.88,51.15,27.63,93.97,,,365.42,
2026-01-02 13:00:00,8.97,15.75,37.69,0.62,0.54,1.21,15.66,,13.65,54.15,29.52,96.39,,,366.62,
2026-01-02 14:00:00,8.87,17.13,39.37,0.59,0.53,1.15,15.57,,14.58,57.64,28.82,96.09,,,365.04,
2026-01-02 15:00:00,8.98,15.7,40.81,0.64,0.76,1.01,15.65,,14.46,58.11,26.25,95.58,,,366.93,
2026-01-02 16:00:00,8.27,14.81,39.19,0.78,0.12,0.5,15.61,,12.1,54.4,26.71,95.68,,,369.21,
2026-01-02 17:00:00,1.73,11.73,36.63,1.62,0.09,0.05,15.69,,10.31,46.69,24.39,90.46,,,367.67,
2026-01-02 18:00:00,1.15,9.72,33.12,1.82,0.07,0.06,15.65,,7.19,34.04,21.39,89.07,,,363.64,
2026-01-02 19:00:00,1.21,9.47,30.63,1.79,0.1,0.05,15.64,,5.09,31.34,21.09,88.97,,,361.84,
2026-01-02 20:00:00,1.23,9.06,28.12,1.79,0.09,0.05,15.61,,4.06,31.09,22.07,88.39,,,362.41,
2026-01-02 21:00:00,1.15,9.52,26.69,1.8,0.06,0.07,15.67,,3.73,30.15,20.66,89.2,,,360.87,
2026-01-02 22:00:00,1.16,9.22,26.0,1.79,0.09,0.05,15.59,,3.54,27.97,19.74,88.97,,,359.46,
2026-01-02 23:00:00,1.16,9.61,25.31,1.75,0.08,0.05,15.7,,3.43,27.92,19.55,88.88,,,361.43,
2026-01-03 00:00:00,1.18,9.38,24.81,1.8,0.09,0.06,15.7,,3.24,27.67,19.37,89.63,,,361.47,
2026-01-03 01:00:00,1.16,9.11,24.57,1.79,0.07,0.05,15.73,,3.24,27.85,20.19,88.49,,,361.52,
2026-01-03 02:00:00,1.16,9.04,24.87,1.79,0.1,0.05,15.64,,3.4,27.57,19.91,88.97,,,361.25,
2026-01-03 03:00:00,1.15,8.94,24.38,1.79,0.07,0.05,15.84,,3.19,27.79,20.01,88.87,,,361.53,
2026-01-03 04:00:00,1.13,9.03,24.81,1.79,0.09,0.06,15.77,,3.23,28.0,23.87,88.46,,,363.31,
2026-01-03 05:00:00,1.15,8.69,24.5,1.74,0.08,0.05,15.74,,3.3,27.75,22.18,89.77,,,360.74,
