Datetime,游泳池,舊體育館,新南球場,紅土網球場
2026-01-01 00:00:00,13.96,8.57,0.7,0.0
2026-01-01 01:00:00,14.8,8.56,0.66,0.0
2026-01-01 02:00:00,20.29,7.66,0.78,0.0
2026-01-01 03:00:00,18.86,8.78,0.72,0.0
2026-01-01 04:00:00,14.94,10.09,0.66,0.01
2026-01-01 05:00:00,14.5,9.0,0.9,0.0
2026-01-01 06:00:00,18.69,8.75,0.56,0.0
2026-01-01 07:00:00,18.34,9.19,0.8,0.01
2026-01-01 08:00:00,13.16,10.79,0.68,0.0
2026-01-01 09:00:00,12.43,8.03,0.63,0.0
2026-01-01 10:00:00,17.22,7.72,0.75,0.01
2026-01-01 11:00:00,17.65,9.41,0.51,0.0
2026-01-01 12:00:00,13.22,7.18,0.79,0.01
2026-01-01 13:00:00,12.91,7.22,0.68,0.0
2026-01-01 14:00:00,15.37,8.11,0.82,0.0
2026-01-01 15:00:00,21.44,8.22,0.99,0.0
2026-01-01 16:00:00,12.83,7.94,1.08,0.0
2026-01-01 17:00:00,13.85,7.44,21.01,0.0
2026-01-01 18:00:00,15.32,7.57,19.91,0.01
2026-01-01 19:00:00,25.06,7.36,17.24,0.0
2026-01-01 20:00:00,14.54,6.25,0.59,0.01
2026-01-01 21:00:00,15.56,6.87,0.54,0.0
2026-01-01 22:00:00,16.18,8.1,0.83,0.0
2026-01-01 23:00:00,22.03,12.13,0.61,0.01
2026-01-02 00:00:00,17.27,8.76,0.66,0.0
2026-01-02 01:00:00,13.94,7.94,0.59,0.0
2026-01-02 02:00:00,13.98,7.42,0.73,0.01
2026-01-02 03:00:00,23.32,8.84,0.67,0.0
2026-01-02 04:00:00,16.83,8.42,0.65,0.0
2026-01-02 05:00:00,14.47,10.61,0.8,0.0
2026-01-02 06:00:00,22.34,10.3,0.55,0.0
2026-01-02 07:00:00,30.46,12.13,0.65,0.01
2026-01-02 08:00:00,24.61,12.19,0.86,0.0
2026-01-02 09:00:00,26.86,9.59,0.53,0.01
2026-01-02 10:00:00,28.55,9.76,0.51,0.0
2026-01-02 11:00:00,19.38,10.53,0.47,0.0
2026-01-02 12:00:00,25.86,9.97,0.43,0.01
2026-01-02 13:00:00,29.44,10.03,0.51,0.0
2026-01-02 14:00:00,26.48,13.42,0.76,0.0
2026-01-02 15:00:00,19.25,22.1,0.53,0.0
2026-01-02 16:00:00,13.78,25.23,3.77,0.0
2026-01-02 17:00:00,38.22,27.88,13.5,0.01
2026-01-02 18:00:00,33.74,20.21,12.38,0.0
2026-01-02 19:00:00,28.22,29.34,2.56,0.0
2026-01-02 20:00:00,28.3,28.39,10.72,0.01
2026-01-02 21:00:00,36.28,27.05,10.82,0.0
2026-01-02 22:00:00,13.64,17.69,2.22,0.01
2026-01-02 23:00:00,13.62,11.95,0.66,0.0
2026-01-03 00:00:00,24.31,12.01,0.72,0.0
2026-01-03 01:00:00,13.73,8.94,0.85,0.01
2026-01-03 02:00:00,13.71,9.07,0.65,0.0
2026-01-03 03:00:00,24.14,9.52,0.6,0.0
2026-01-03 04:00:00,13.85,9.8,0.69,0.0
2026-01-03 05:00:00,13.68,11.49,0.59,0.0
2026-01-03 06:00:00,18.44,10.21,0.87,0.01
2026-01-03 07:00:00,28.8,9.96,1.13,0.0
2026-01-03 08:00:00,24.97,22.62,0.4,0.0
2026-01-03 09:00:00,27.1,21.22,0.99,0.01
2026-01-03 10:00:00,17.88,23.37,0.67,0.0
2026-01-03 11:00:00,20.46,21.21,0.69,0.0
2026-01-03 12:00:00,28.97,24.79,0.58,0.01
2026-01-03 13:00:00,20.91,20.69,0.91,0.0
2026-01-03 14:00:00,24.56,20.94,0.78,0.0
2026-01-03 15:00:00,13.19,23.03,0.87,0.0
2026-01-03 16:00:00,11.9,23.53,4.64,0.0
2026-01-03 17:00:00,34.65,20.89,38.04,5.54
2026-01-03 18:00:00,27.92,17.61,39.25,6.75
2026-01-03 19:00:00,28.63,16.95,39.27,6.73
2026-01-03 20:00:00,34.74,22.91,18.79,4.11
2026-01-03 21:00:00,28.1,20.81,14.04,0.98
2026-01-03 22:00:00,13.81,10.08,0.82,0.0
2026-01-03 23:00:00,14.85,7.46,0.68,0.0
2026-01-04 00:00:00,22.17,10.27,0.66,0.0
2026-01-04 01:00:00,13.98,7.03,0.65,0.0
