Datetime,一號館,展書樓,地質系,園藝系造園館
2026-01-01 00:00:00,76.9,58.12,99.88,7.13
2026-01-01 01:00:00,77.16,53.94,98.47,6.68
2026-01-01 02:00:00,77.5,51.5,99.28,6.38
2026-01-01 03:00:00,75.22,51.75,98.56,6.5
2026-01-01 04:00:00,75.91,51.06,97.59,6.62
2026-01-01 05:00:00,76.25,49.5,97.56,6.44
2026-01-01 06:00:00,77.17,50.38,96.54,6.63
2026-01-01 07:00:00,76.41,49.43,96.25,6.56
2026-01-01 08:00:00,78.79,49.63,96.87,6.5
2026-01-01 09:00:00,83.45,50.44,96.09,6.69
2026-01-01 10:00:00,82.1,52.68,97.54,6.43
2026-01-01 11:00:00,81.58,52.13,98.81,6.69
2026-01-01 12:00:00,82.26,51.44,97.13,7.88
2026-01-01 13:00:00,84.77,52.5,97.21,8.56
2026-01-01 14:00:00,82.55,53.56,98.0,9.19
2026-01-01 15:00:00,81.96,52.94,97.66,9.18
2026-01-01 16:00:00,81.31,54.18,98.38,9.38
2026-01-01 17:00:00,82.07,54.0,100.72,9.06
2026-01-01 18:00:00,81.17,54.94,98.15,7.75
2026-01-01 19:00:00,79.86,52.13,96.9,8.0
2026-01-01 20:00:00,80.64,51.43,97.32,7.94
2026-01-01 21:00:00,77.6,51.38,96.0,8.06
2026-01-01 22:00:00,76.82,50.62,95.78,6.88
2026-01-01 23:00:00,77.76,50.19,96.13,6.18
2026-01-02 00:00:00,76.39,50.31,95.53,6.32
2026-01-02 01:00:00,74.64,48.82,94.84,6.12
2026-01-02 02:00:00,75.98,48.93,95.04,6.13
2026-01-02 03:00:00,75.16,49.07,94.4,5.93
2026-01-02 04:00:00,75.09,49.37,93.72,5.82
2026-01-02 05:00:00,75.59,49.0,94.4,5.75
2026-01-02 06:00:00,74.3,49.0,90.85,5.68
2026-01-02 07:00:00,75.89,49.69,90.15,5.57
2026-01-02 08:00:00,81.22,52.94,94.57,7.81
2026-01-02 09:00:00,84.77,61.62,108.71,10.69
2026-01-02 10:00:00,89.03,68.94,111.44,11.0
2026-01-02 11:00:00,90.95,73.31,112.66,10.87
2026-01-02 12:00:00,90.4,73.06,112.72,11.31
2026-01-02 13:00:00,89.25,71.88,112.75,11.57
2026-01-02 14:00:00,93.17,73.19,113.16,11.56
2026-01-02 15:00:00,89.88,75.18,113.56,11.37
2026-01-02 16:00:00,90.18,74.57,114.31,11.69
2026-01-02 17:00:00,88.04,71.37,109.03,12.06
2026-01-02 18:00:00,89.54,65.56,101.47,8.94
2026-01-02 19:00:00,82.72,62.5,99.99,8.44
2026-01-02 20:00:00,77.18,58.75,98.29,8.62
2026-01-02 21:00:00,79.11,56.63,96.56,8.0
2026-01-02 22:00:00,78.69,57.06,89.79,6.38
2026-01-02 23:00:00,76.06,54.44,88.02,5.5
2026-01-03 00:00:00,74.68,54.25,88.51,5.5
