Datetime,總圖書館,園藝系精密溫室
2026-01-01 00:00:00,186.5,24.97
2026-01-01 01:00:00,183.69,24.19
2026-01-01 02:00:00,185.94,24.8
2026-01-01 03:00:00,183.19,24.54
2026-01-01 04:00:00,184.25,24.69
2026-01-01 05:00:00,183.25,23.88
2026-01-01 06:00:00,181.43,25.87
2026-01-01 07:00:00,182.69,25.09
2026-01-01 08:00:00,193.88,25.13
2026-01-01 09:00:00,191.56,29.71
2026-01-01 10:00:00,194.12,28.75
2026-01-01 11:00:00,191.19,26.25
2026-01-01 12:00:00,193.94,25.98
2026-01-01 13:00:00,191.25,25.34
2026-01-01 14:00:00,208.44,27.22
2026-01-01 15:00:00,196.18,27.87
2026-01-01 16:00:00,196.13,28.79
2026-01-01 17:00:00,193.87,27.87
2026-01-01 18:00:00,193.0,28.69
2026-01-01 19:00:00,194.57,29.53
2026-01-01 20:00:00,191.56,27.46
2026-01-01 21:00:00,182.19,27.03
2026-01-01 22:00:00,181.43,25.51
2026-01-01 23:00:00,181.19,25.34
2026-01-02 00:00:00,181.5,24.6
2026-01-02 01:00:00,183.0,23.71
2026-01-02 02:00:00,182.13,24.29
2026-01-02 03:00:00,182.37,24.09
2026-01-02 04:00:00,183.94,24.75
2026-01-02 05:00:00,181.81,24.62
2026-01-02 06:00:00,183.06,25.38
2026-01-02 07:00:00,266.88,24.74
2026-01-02 08:00:00,568.75,26.63
2026-01-02 09:00:00,610.75,31.38
2026-01-02 10:00:00,620.5,29.46
2026-01-02 11:00:00,614.62,26.67
2026-01-02 12:00:00,607.0,26.24
2026-01-02 13:00:00,611.88,27.37
2026-01-02 14:00:00,609.37,26.98
2026-01-02 15:00:00,616.63,27.62
2026-01-02 16:00:00,601.19,27.34
2026-01-02 17:00:00,549.87,26.22
2026-01-02 18:00:00,538.0,27.07
2026-01-02 19:00:00,532.5,27.06
2026-01-02 20:00:00,502.63,27.06
2026-01-02 21:00:00,265.68,26.75
2026-01-02 22:00:00,198.38,25.22
2026-01-02 23:00:00,171.87,24.75
2026-01-03 00:00:00,157.32,23.4
2026-01-03 01:00:00,158.56,23.07
2026-01-03 02:00:00,158.06,23.87
2026-01-03 03:00:00,158.81,23.56
2026-01-03 04:00:00,158.69,23.35
2026-01-03 05:00:00,158.06,23.28
2026-01-03 06:00:00,157.0,26.37
2026-01-03 07:00:00,225.94,25.44
2026-01-03 08:00:00,512.0,26.47
2026-01-03 09:00:00,510.31,32.25
2026-01-03 10:00:00,517.69,28.63
2026-01-03 11:00:00,515.56,26.81
2026-01-03 12:00:00,501.0,25.66
2026-01-03 13:00:00,502.94,26.25
2026-01-03 14:00:00,504.25,25.74
2026-01-03 15:00:00,505.75,26.1
2026-01-03 16:00:00,486.69,25.31
2026-01-03 17:00:00,254.69,26.25
2026-01-03 18:00:00,180.56,27.5
2026-01-03 19:00:00,170.0,28.12
2026-01-03 20:00:00,166.81,28.38
2026-01-03 21:00:00,165.5,26.01
2026-01-03 22:00:00,160.69,24.65
2026-01-03 23:00:00,160.56,26.28
2026-01-04 00:00:00,159.31,25.15
2026-01-04 01:00:00,160.88,23.97
2026-01-04 02:00:00,160.19,24.94
2026-01-04 03:00:00,160.43,23.25
2026-01-04 04:00:00,160.0,23.32
2026-01-04 05:00:00,159.44,23.56
2026-01-04 06:00:00,159.63,25.18
2026-01-04 07:00:00,228.75,24.94
2026-01-04 08:00:00,598.93,25.09
2026-01-04 09:00:00,611.13,31.72
2026-01-04 10:00:00,614.75,31.78
2026-01-04 11:00:00,617.81,29.88
2026-01-04 12:00:00,621.19,28.56
2026-01-04 13:00:00,624.69,29.6
2026-01-04 14:00:00,628.0,28.77
2026-01-04 15:00:00,617.12,26.57
2026-01-04 16:00:00,603.31,25.79
2026-01-04 17:00:00,289.38,26.58
2026-01-04 18:00:00,211.37,29.2
2026-01-04 19:00:00,190.44,28.81
2026-01-04 20:00:00,190.19,26.65
2026-01-04 21:00:00,191.69,25.47
2026-01-04 22:00:00,181.43,24.78
2026-01-04 23:00:00,180.75,24.19
2026-01-05 00:00:00,181.07,23.69
2026-01-05 01:00:00,180.31,24.02
2026-01-05 02:00:00,179.56,24.2
2026-01-05 03:00:00,180.38,23.75
2026-01-05 04:00:00,179.87,24.81
2026-01-05 05:00:00,178.75,25.18
2026-01-05 06:00:00,181.56,25.76
2026-01-05 07:00:00,326.25,25.18
2026-01-05 08:00:00,666.13,26.56
2026-01-05 09:00:00,704.5,32.66
2026-01-05 10:00:00,708.31,32.56
2026-01-05 11:00:00,714.75,27.76
2026-01-05 12:00:00,710.38,29.15
2026-01-05 13:00:00,721.37,32.75
2026-01-05 14:00:00,715.44,32.68
2026-01-05 15:00:00,717.94,30.32
2026-01-05 16:00:00,716.0,30.72
2026-01-05 17:00:00,664.25,29.63
2026-01-05 18:00:00,642.5,29.77
2026-01-05 19:00:00,633.37,28.98
2026-01-05 20:00:00,598.06,27.72
2026-01-05 21:00:00,291.82,27.99
2026-01-05 22:00:00,222.25,26.23
2026-01-05 23:00:00,179.56,25.96
2026-01-06 00:00:00,180.25,24.66
2026-01-06 01:00:00,181.5,25.19
2026-01-06 02:00:00,177.87,25.15
2026-01-06 03:00:00,180.94,24.84
2026-01-06 04:00:00,177.31,25.6
2026-01-06 05:00:00,180.25,32.16
2026-01-06 06:00:00,177.94,35.74
2026-01-06 07:00:00,281.25,32.04
2026-01-06 08:00:00,594.25,32.91
2026-01-06 09:00:00,637.5,34.55
2026-01-06 10:00:00,632.75,30.59
2026-01-06 11:00:00,636.56,31.82
2026-01-06 12:00:00,631.44,32.75
2026-01-06 13:00:00,633.13,35.53
2026-01-06 14:00:00,637.68,36.94
2026-01-06 15:00:00,640.69,37.91
2026-01-06 16:00:00,632.19,36.96
2026-01-06 17:00:00,573.87,31.1
2026-01-06 18:00:00,542.07,27.97
2026-01-06 19:00:00,540.62,27.46
2026-01-06 20:00:00,504.81,25.63
2026-01-06 21:00:00,262.44,26.5
2026-01-06 22:00:00,195.5,25.06
2026-01-06 23:00:00,159.88,24.6
2026-01-07 00:00:00,158.5,24.12
2026-01-07 01:00:00,158.37,24.0
2026-01-07 02:00:00,157.63,23.75
2026-01-07 03:00:00,158.18,23.57
2026-01-07 04:00:00,158.88,24.53
2026-01-07 05:00:00,158.12,24.59
2026-01-07 06:00:00,158.88,25.34
2026-01-07 07:00:00,260.5,26.07
2026-01-07 08:00:00,576.56,25.34
2026-01-07 09:00:00,648.56,32.34
2026-01-07 10:00:00,650.5,33.81
2026-01-07 11:00:00,615.0,34.98
2026-01-07 12:00:00,608.94,34.81
2026-01-07 13:00:00,612.13,38.31
2026-01-07 14:00:00,612.12,33.75
2026-01-07 15:00:00,615.75,30.32
2026-01-07 16:00:00,611.13,29.64
2026-01-07 17:00:00,559.62,29.6
2026-01-07 18:00:00,539.94,28.88
2026-01-07 19:00:00,535.87,29.59
2026-01-07 20:00:00,508.88,28.37
2026-01-07 21:00:00,265.31,27.31
2026-01-07 22:00:00,197.38,25.7
2026-01-07 23:00:00,173.5,26.02
2026-01-08 00:00:00,159.81,25.35
2026-01-08 01:00:00,159.75,25.91
2026-01-08 02:00:00,159.12,26.56
2026-01-08 03:00:00,159.44,25.87
2026-01-08 04:00:00,158.69,26.41
2026-01-08 05:00:00,158.0,25.19
2026-01-08 06:00:00,159.19,26.09
2026-01-08 07:00:00,256.0,25.28
2026-01-08 08:00:00,571.43,26.81
2026-01-08 09:00:00,603.38,33.29
2026-01-08 10:00:00,611.44,33.53
2026-01-08 11:00:00,613.25,28.84
2026-01-08 12:00:00,612.5,27.91
2026-01-08 13:00:00,615.56,28.18
2026-01-08 14:00:00,614.5,29.32
2026-01-08 15:00:00,616.62,29.53
2026-01-08 16:00:00,614.88,30.5
2026-01-08 17:00:00,562.81,27.88
2026-01-08 18:00:00,538.94,27.62
2026-01-08 19:00:00,541.94,27.28
2026-01-08 20:00:00,507.0,25.66
2026-01-08 21:00:00,243.25,27.12
2026-01-08 22:00:00,184.81,24.1
2026-01-08 23:00:00,171.0,23.47
2026-01-09 00:00:00,156.87,22.9
2026-01-09 01:00:00,155.94,23.0
2026-01-09 02:00:00,154.56,23.41
2026-01-09 03:00:00,154.75,23.53
2026-01-09 04:00:00,154.38,23.12
2026-01-09 05:00:00,153.81,23.72
2026-01-09 06:00:00,154.38,25.06
2026-01-09 07:00:00,256.18,24.32
2026-01-09 08:00:00,572.57,26.27
2026-01-09 09:00:00,610.75,31.76
2026-01-09 10:00:00,610.06,30.22
2026-01-09 11:00:00,612.56,28.44
2026-01-09 12:00:00,609.94,30.87
2026-01-09 13:00:00,616.87,31.37
2026-01-09 14:00:00,619.13,28.66
2026-01-09 15:00:00,622.44,31.0
2026-01-09 16:00:00,606.43,29.91
2026-01-09 17:00:00,545.69,28.81
2026-01-09 18:00:00,539.94,29.09
2026-01-09 19:00:00,532.75,27.75
2026-01-09 20:00:00,505.62,27.0
2026-01-09 21:00:00,247.69,26.84
2026-01-09 22:00:00,213.25,25.26
2026-01-09 23:00:00,176.19,24.4
2026-01-10 00:00:00,158.25,24.07
2026-01-10 01:00:00,158.94,23.22
2026-01-10 02:00:00,159.37,23.4
2026-01-10 03:00:00,158.38,23.47
2026-01-10 04:00:00,159.62,23.37
2026-01-10 05:00:00,158.06,23.98
2026-01-10 06:00:00,157.69,24.9
2026-01-10 07:00:00,224.94,24.44
2026-01-10 08:00:00,509.0,25.25
2026-01-10 09:00:00,510.37,30.59
2026-01-10 10:00:00,519.25,30.66
2026-01-10 11:00:00,521.44,27.91
2026-01-10 12:00:00,516.75,28.31
2026-01-10 13:00:00,522.44,27.06
2026-01-10 14:00:00,528.81,26.81
2026-01-10 15:00:00,523.69,26.81
2026-01-10 16:00:00,506.56,26.44
2026-01-10 17:00:00,262.5,27.16
2026-01-10 18:00:00,197.81,26.75
2026-01-10 19:00:00,170.75,25.81
2026-01-10 20:00:00,167.44,25.97
2026-01-10 21:00:00,167.56,25.84
2026-01-10 22:00:00,161.5,24.47
2026-01-10 23:00:00,162.13,24.34
2026-01-11 00:00:00,161.87,23.82
2026-01-11 01:00:00,160.25,24.03
2026-01-11 02:00:00,160.25,24.13
2026-01-11 03:00:00,160.19,23.65
2026-01-11 04:00:00,159.06,23.56
2026-01-11 05:00:00,158.82,23.78
2026-01-11 06:00:00,159.68,24.91
2026-01-11 07:00:00,238.25,24.38
2026-01-11 08:00:00,513.07,25.18
2026-01-11 09:00:00,516.06,30.41
2026-01-11 10:00:00,522.94,29.16
2026-01-11 11:00:00,531.87,29.05
2026-01-11 12:00:00,652.44,31.04
2026-01-11 13:00:00,711.06,27.84
2026-01-11 14:00:00,708.0,26.62
2026-01-11 15:00:00,704.38,26.67
2026-01-11 16:00:00,595.75,27.34
2026-01-11 17:00:00,233.62,28.13
2026-01-11 18:00:00,166.75,29.8
2026-01-11 19:00:00,168.31,28.04
2026-01-11 20:00:00,165.94,26.77
2026-01-11 21:00:00,164.06,26.07
2026-01-11 22:00:00,158.5,23.75
2026-01-11 23:00:00,157.57,23.87
2026-01-12 00:00:00,158.37,23.19
2026-01-12 01:00:00,160.81,23.88
2026-01-12 02:00:00,160.57,23.72
2026-01-12 03:00:00,158.75,23.03
2026-01-12 04:00:00,158.93,24.66
2026-01-12 05:00:00,158.07,24.68
2026-01-12 06:00:00,159.37,25.28
2026-01-12 07:00:00,258.88,25.82
2026-01-12 08:00:00,695.06,25.96
2026-01-12 09:00:00,797.19,32.19
2026-01-12 10:00:00,801.43,35.22
2026-01-12 11:00:00,784.82,30.34
2026-01-12 12:00:00,715.5,28.62
2026-01-12 13:00:00,630.12,29.73
2026-01-12 14:00:00,627.88,31.28
2026-01-12 15:00:00,622.0,30.12
2026-01-12 16:00:00,618.12,29.88
2026-01-12 17:00:00,565.19,29.91
2026-01-12 18:00:00,546.25,34.87
2026-01-12 19:00:00,550.87,33.91
2026-01-12 20:00:00,513.0,33.18
2026-01-12 21:00:00,260.57,30.63
2026-01-12 22:00:00,189.62,26.43
2026-01-12 23:00:00,163.38,24.85
2026-01-13 00:00:00,160.93,25.19
2026-01-13 01:00:00,160.88,25.43
2026-01-13 02:00:00,160.31,23.95
2026-01-13 03:00:00,160.69,23.34
2026-01-13 04:00:00,160.44,25.03
2026-01-13 05:00:00,159.56,26.06
2026-01-13 06:00:00,160.12,24.94
2026-01-13 07:00:00,256.75,24.75
2026-01-13 08:00:00,569.19,26.5
2026-01-13 09:00:00,604.44,34.31
2026-01-13 10:00:00,625.0,33.32
2026-01-13 11:00:00,611.31,30.59
2026-01-13 12:00:00,611.31,32.24
2026-01-13 13:00:00,618.0,32.22
2026-01-13 14:00:00,621.0,31.13
2026-01-13 15:00:00,620.5,28.38
2026-01-13 16:00:00,618.88,28.25
2026-01-13 17:00:00,560.25,28.96
2026-01-13 18:00:00,543.5,28.22
2026-01-13 19:00:00,537.44,26.66
2026-01-13 20:00:00,508.37,26.44
2026-01-13 21:00:00,248.75,25.84
2026-01-13 22:00:00,189.88,24.5
2026-01-13 23:00:00,174.81,24.25
2026-01-14 00:00:00,162.31,25.18
2026-01-14 01:00:00,159.63,24.45
2026-01-14 02:00:00,160.87,23.53
2026-01-14 03:00:00,160.88,23.53
2026-01-14 04:00:00,162.0,25.03
2026-01-14 05:00:00,161.5,25.31
