Datetime,司令台,新月台,植物病毒研究室,新南停車場,文學院,-闈場-,性別平等教育委員會,椰林大道路燈前段,新月台揚水及汙水泵用電,研一男,研一女
2025-01-01 00:00:00,,,,,,,,,,111.84,27.65
2025-01-01 01:00:00,,,,,,,,,,90.97,20.16
2025-01-01 02:00:00,,,,,,,,,,91.79,21.25
2025-01-01 03:00:00,,,,,,,,,,75.4,26.28
2025-01-01 04:00:00,,,,,,,,,,105.4,26.69
2025-01-01 05:00:00,,,,,,,,,,80.76,25.47
2025-01-01 06:00:00,,,,,,,,,,81.68,16.28
2025-01-01 07:00:00,,,,,,,,,,83.26,21.22
2025-01-01 08:00:00,,,,,,,,,,93.09,15.0
2025-01-01 09:00:00,,,,,,,,,,82.25,21.21
2025-01-01 10:00:00,,,,,,,,,,78.03,16.1
2025-01-01 11:00:00,,,,,,,,,,59.75,23.5
2025-01-01 12:00:00,,,,,,,,,,80.72,18.81
2025-01-01 13:00:00,,,,,,,,,,72.81,20.06
2025-01-01 14:00:00,,,,,,,,,,68.13,22.38
2025-01-01 15:00:00,,,,,,,,,,70.31,17.75
2025-01-01 16:00:00,,,,,,,,,,71.94,22.34
2025-01-01 17:00:00,,,,,,,,,,82.81,24.28
2025-01-01 18:00:00,,,,,,,,,,73.44,23.53
2025-01-01 19:00:00,,,,,,,,,,73.59,25.66
2025-01-01 20:00:00,,,,,,,,,,132.75,33.09
2025-01-01 21:00:00,,,,,,,,,,131.16,31.75
2025-01-01 22:00:00,,,,,,,,,,137.77,26.07
2025-01-01 23:00:00,,,,,,,,,,108.38,30.84
2025-01-02 00:00:00,,,,,,,,,,141.03,30.94
2025-01-02 01:00:00,,,,,,,,,,102.26,30.59
2025-01-02 02:00:00,,,,,,,,,,117.87,19.72
2025-01-02 03:00:00,,,,,,,,,,99.1,19.88
2025-01-02 04:00:00,,,,,,,,,,107.4,18.62
2025-01-02 05:00:00,,,,,,,,,,97.37,18.13
2025-01-02 06:00:00,,,,,,,,,,106.95,17.0
2025-01-02 07:00:00,,,,,,,,,,65.09,17.31
2025-01-02 08:00:00,,,,,,,,,,39.15,17.44
2025-01-02 09:00:00,,,,,,,,,,67.81,19.0
2025-01-02 10:00:00,,,,,,,,,,92.95,19.9
2025-01-02 11:00:00,,,,,,,,,,99.49,19.72
2025-01-02 12:00:00,,,,,,,,,,87.78,23.19
2025-01-02 13:00:00,,,,,,,,,,68.54,26.94
2025-01-02 14:00:00,,,,,,,,,,44.15,26.96
2025-01-02 15:00:00,,,,,,,,,,44.03,19.0
2025-01-02 16:00:00,,,,,,,,,,43.69,19.22
2025-01-02 17:00:00,,,,,,,,,,86.93,16.85
2025-01-02 18:00:00,,,,,,,,,,110.41,23.28
2025-01-02 19:00:00,,,,,,,,,,91.79,17.28
2025-01-02 20:00:00,,,,,,,,,,93.84,24.0
2025-01-02 21:00:00,,,,,,,,,,121.28,26.31
2025-01-02 22:00:00,,,,,,,,,,118.59,31.22
2025-01-02 23:00:00,,,,,,,,,,107.84,34.38
2025-01-03 00:00:00,,,,,,,,,,133.16,29.75
2025-01-03 01:00:00,,,,,,,,,,98.6,28.56
2025-01-03 02:00:00,,,,,,,,,,109.27,24.0
2025-01-03 03:00:00,,,,,,,,,,94.22,19.84
2025-01-03 04:00:00,,,,,,,,,,85.57,16.72
2025-01-03 05:00:00,,,,,,,,,,84.44,17.34
2025-01-03 06:00:00,,,,,,,,,,94.5,18.57
2025-01-03 07:00:00,,,,,,,,,,81.43,17.9
2025-01-03 08:00:00,,,,,,,,,,87.2,17.28
2025-01-03 09:00:00,,,,,,,,,,102.89,17.13
2025-01-03 10:00:00,,,,,,,,,,64.2,20.72
2025-01-03 11:00:00,,,,,,,,,,40.0,26.28
2025-01-03 12:00:00,,,,,,,,,,87.18,26.19
2025-01-03 13:00:00,,,,,,,,,,85.78,25.9
2025-01-03 14:00:00,,,,,,,,,,85.5,20.88
2025-01-03 15:00:00,,,,,,,,,,99.03,23.15
2025-01-03 16:00:00,,,,,,,,,,85.72,20.97
2025-01-03 17:00:00,,,,,,,,,,67.51,19.13
2025-01-03 18:00:00,,,,,,,,,,51.65,20.84
2025-01-03 19:00:00,,,,,,,,,,89.84,19.94
2025-01-03 20:00:00,,,,,,,,,,108.56,21.28
2025-01-03 21:00:00,,,,,,,,,,112.76,21.34
2025-01-03 22:00:00,,,,,,,,,,105.71,28.0
2025-01-03 23:00:00,,,,,,,,,,124.16,30.82
2025-01-04 00:00:00,,,,,,,,,,100.75,30.59
2025-01-04 01:00:00,,,,,,,,,,100.78,27.94
2025-01-04 02:00:00,,,,,,,,,,106.97,26.72
2025-01-04 03:00:00,,,,,,,,,,89.63,24.12
2025-01-04 04:00:00,,,,,,,,,,87.06,17.6
2025-01-04 05:00:00,,,,,,,,,,102.69,21.15
2025-01-04 06:00:00,,,,,,,,,,78.0,16.66
2025-01-04 07:00:00,,,,,,,,,,79.09,17.97
2025-01-04 08:00:00,,,,,,,,,,103.0,19.87
2025-01-04 09:00:00,,,,,,,,,,81.16,15.44
2025-01-04 10:00:00,,,,,,,,,,82.81,19.84
2025-01-04 11:00:00,,,,,,,,,,111.06,16.94
2025-01-04 12:00:00,,,,,,,,,,80.72,17.59
2025-01-04 13:00:00,,,,,,,,,,48.44,20.25
2025-01-04 14:00:00,,,,,,,,,,46.06,17.72
2025-01-04 15:00:00,,,,,,,,,,51.85,17.28
2025-01-04 16:00:00,,,,,,,,,,83.68,20.44
2025-01-04 17:00:00,,,,,,,,,,91.41,20.72
2025-01-04 18:00:00,,,,,,,,,,58.12,19.25
2025-01-04 19:00:00,,,,,,,,,,71.57,26.06
2025-01-04 20:00:00,,,,,,,,,,79.59,28.75
2025-01-04 21:00:00,,,,,,,,,,77.0,30.0
2025-01-04 22:00:00,,,,,,,,,,81.62,24.69
2025-01-04 23:00:00,,,,,,,,,,121.82,31.88
2025-01-05 00:00:00,,,,,,,,,,104.62,31.43
2025-01-05 01:00:00,,,,,,,,,,97.63,28.25
2025-01-05 02:00:00,,,,,,,,,,99.15,19.75
