Datetime,女二舍,女三舍,女五舍,女一舍,女八九舍(含女九餐廳),男八舍,男一舍,男七舍,男五舍,大一女舍,男三舍
2025/1/1 0:00,,,,,34.81,78.29,37.62,34.48,23.56,53.44,32.31
2025/1/1 1:00,,,,,43.47,66.63,41.32,113.49,24.63,55.19,39.62
2025/1/1 2:00,,,,,45.32,47.53,47.56,40.78,26.94,57.87,38.69
2025/1/1 3:00,,,,,37.75,38.85,41.94,102.7,20.37,52.69,32
2025/1/1 4:00,,,,,35.43,36.42,41.25,34.11,19.13,49.62,27.44
2025/1/1 5:00,,,,,33.25,34.86,37.68,29.83,20.25,47.57,25.5
2025/1/1 6:00,,,,,31.88,37.91,31.26,91.94,20.87,51.37,22.56
2025/1/1 7:00,,,,,34.78,37.56,32.55,26.38,13.44,52.06,21.13
2025/1/1 8:00,,,,,34.96,41.52,36.57,25.27,13.12,51.25,20.18
2025/1/1 9:00,,,,,32.85,43.82,35.25,25,14.38,55.32,20.69
2025/1/1 10:00,,,,,42.06,45.85,32.5,26.19,18.75,65.75,21.13
2025/1/1 11:00,,,,,43.01,50.67,36.18,31.58,19.37,71.62,27.06
2025/1/1 12:00,,,,,39.49,52.5,45.38,93.88,20.88,73.38,24.75
2025/1/1 13:00,,,,,40.85,47.49,48.13,36.14,20.19,72.18,27.81
2025/1/1 14:00,,,,,41.75,47.35,54,30.52,23.43,77.75,32.69
2025/1/1 15:00,,,,,40.91,49.77,49.25,33.87,24.82,85.32,38.87
2025/1/1 16:00,,,,,37.15,55.55,63.12,33.61,32.93,80.81,42.13
2025/1/1 17:00,,,,,41.65,55.78,54.69,36.65,29,78,41.44
2025/1/1 18:00,,,,,44.98,54.5,52.37,56.51,24,79.31,41.31
2025/1/1 19:00,,,,,47.87,63.23,55.5,96.83,28.19,83.88,43.62
2025/1/1 20:00,,,,,49.84,64.54,69.44,38.16,26.56,94.75,52.25
2025/1/1 21:00,,,,,55.97,72.47,67.87,43.95,32.94,90.37,51.94
2025/1/1 22:00,,,,,65.41,75.61,80.14,117.84,35.25,89.81,51.56
2025/1/1 23:00,,,,,60.87,78.64,77.87,122.43,30.88,70.19,49.13
2025/1/2 0:00,,,,,54,70.14,59.75,112.99,28.81,75.06,45.81
2025/1/2 1:00,,,,,47.44,62.59,55.19,63.57,27.37,58.5,47.25
2025/1/2 2:00,,,,,42.44,49.18,43.31,84.93,26.44,48.94,39.75
2025/1/2 3:00,,,,,42.4,39.49,42.44,29.7,24.94,49,36.56
2025/1/2 4:00,,,,,36.79,38.55,38.43,37.98,16.06,49.44,27.13
2025/1/2 5:00,,,,,32.72,37.31,33.25,86.63,16,44.87,22.25
2025/1/2 6:00,,,,,35.33,39.59,30.5,23.22,15.69,46.25,19.94
2025/1/2 7:00,,,,,40.54,36.52,28.19,23.64,15.31,52.88,20.37
2025/1/2 8:00,,,,,42.22,38.69,35.56,26.17,19.88,64.06,21.94
2025/1/2 9:00,,,,,50.65,45.5,36.13,27.86,19.56,72.63,22.25
2025/1/2 10:00,,,,,53.03,44.86,38.19,29.23,19.81,99,27.12
2025/1/2 11:00,,,,,45.5,48.39,40.43,29.46,16.5,100.31,23.19
2025/1/2 12:00,,,,,50.57,53.95,45.56,38.82,15.94,106.44,24.44
2025/1/2 13:00,,,,,47.99,51.31,48.44,31.9,16.44,97.06,26.06
2025/1/2 14:00,,,,,39.48,48.09,47.75,99.83,16.62,79.69,32.5
2025/1/2 15:00,,,,,50.4,49.43,48.56,32.92,18.38,91.25,36.19
2025/1/2 16:00,,,,,55.07,53.25,51.95,36.07,22.87,104.56,31.31
2025/1/2 17:00,,,,,59.74,51.61,55.93,41.25,21.94,98.06,31.44
2025/1/2 18:00,,,,,51.41,54.7,48.07,37.04,21.62,89.81,34.37
2025/1/2 19:00,,,,,43.91,56.63,52.93,39.83,27.75,84,33.94
2025/1/2 20:00,,,,,44.37,64.78,55.81,108.21,25.88,81.13,38.94
2025/1/2 21:00,,,,,51.78,73.82,61.06,45.08,29.44,86.94,46
2025/1/2 22:00,,,,,56.51,77.1,76.56,82.52,30.25,78.12,50.87
2025/1/2 23:00,,,,,65.9,83.5,71.25,102.1,30.18,78.31,52
2025/1/3 0:00,,,,,67.22,82.26,68.75,99.15,35.57,68.57,49.44
2025/1/3 1:00,,,,,54.19,67.21,58.88,101.91,25.68,66,42.19
2025/1/3 2:00,,,,,42.66,50.72,40.94,69.06,26.13,57.75,35.81
2025/1/3 3:00,,,,,35.21,51.02,37.38,62.38,21.25,52.5,28.56
2025/1/3 4:00,,,,,31.69,38.26,31.81,23.65,18.12,52.93,24.25
2025/1/3 5:00,,,,,30.03,33.47,29.62,24.96,15.69,45.57,21.5
2025/1/3 6:00,,,,,32.09,37.56,30.07,22.22,15.31,47.43,21.75
2025/1/3 7:00,,,,,39.75,35.57,32.18,59.81,17.88,54.88,19.13
2025/1/3 8:00,,,,,47.01,38.94,32.51,57.87,17.56,64.69,19.81
2025/1/3 9:00,,,,,52.5,43.67,33.68,25.18,16.75,84.25,22.5
2025/1/3 10:00,,,,,56.46,49.28,39.69,25.68,18.63,99.87,31.88
2025/1/3 11:00,,,,,54.97,49.03,41.93,29.96,21.37,110.31,23.43
2025/1/3 12:00,,,,,60.63,49.88,39.94,30.57,17.88,96.82,24.88
2025/1/3 13:00,,,,,48.77,50.27,46.07,28.66,15.18,92.93,30.19
2025/1/3 14:00,,,,,45.26,52.95,47.75,28.42,16.75,72.25,31.18
2025/1/3 15:00,,,,,45.56,53.06,50.43,34.46,21.25,78.82,31.07
2025/1/3 16:00,,,,,56.35,58.57,49.75,65.23,19.19,97.62,38.75
2025/1/3 17:00,,,,,58.68,53.05,51.88,99.31,21.56,95,44.37
2025/1/3 18:00,,,,,56.09,51.96,45,34.8,19.57,87.06,32.81
2025/1/3 19:00,,,,,51.88,53.75,46.94,37.14,20.75,75.94,39.44
2025/1/3 20:00,,,,,47,56.48,57.25,37.05,30.25,76,37.44
2025/1/3 21:00,,,,,53.66,62.79,55.25,46.22,28.75,76.44,47.12
2025/1/3 22:00,,,,,64.4,67.07,59.31,112.5,34.43,73.69,47.75
2025/1/3 23:00,,,,,68.85,65.92,63.25,67.06,27.94,71.37,51.38
2025/1/4 0:00,,,,,64.24,68.5,54.68,99.95,30.94,62.31,55.06
2025/1/4 1:00,,,,,60.1,60.85,47.38,98.61,30.62,60.82,43.31
2025/1/4 2:00,,,,,39,45.61,46.38,69.64,25.19,52.06,36.69
2025/1/4 3:00,,,,,33.84,41.62,38.74,68.2,18.25,51.81,30.38
2025/1/4 4:00,,,,,34.66,35.53,37.51,23.19,20.75,45.94,30.31
2025/1/4 5:00,,,,,30.31,33.73,31.68,22.19,17.19,47.37,25.25
2025/1/4 6:00,,,,,33.16,33.58,29.5,22.39,14.87,51.19,21.06
2025/1/4 7:00,,,,,31.37,33.43,31.38,21,15.32,47.75,21.63
2025/1/4 8:00,,,,,37.03,35.12,34.75,87.23,15.5,57.44,21.06
2025/1/4 9:00,,,,,33.29,38.7,34.56,25.68,17.56,68.94,23.37
2025/1/4 10:00,,,,,35.84,45.11,31.94,25.45,14.94,72.18,27
2025/1/4 11:00,,,,,34.59,46.24,35.62,26.91,21.25,77.07,27.32
2025/1/4 12:00,,,,,41.57,50.73,42.56,22.78,17.68,84.25,30
2025/1/4 13:00,,,,,45.5,52.3,49.07,24.43,26.25,79.62,32.87
2025/1/4 14:00,,,,,44.77,53.61,43.25,24.22,23.13,79.81,27.44
2025/1/4 15:00,,,,,39.63,52.75,42.93,26.82,21.31,72.57,28.75
2025/1/4 16:00,,,,,37.54,54.35,41,24.82,23,63.12,36.87
2025/1/4 17:00,,,,,37.47,55.73,41.13,74.49,21.56,64,41.07
2025/1/4 18:00,,,,,39.9,57.23,42.82,61.97,20.69,74.63,30.87
2025/1/4 19:00,,,,,40.82,57.08,51.37,33.45,21.25,79.56,37.5
2025/1/4 20:00,,,,,40.8,62.54,53.06,32.58,21.25,87.06,44.81
