Datetime,工學院綜合大樓,思亮館,一號館2F,電機一館,心理系北館,-漁業生物實驗室-,-原分所-,一號館1F(戲劇系),一號館3F,三號館,全球變遷中心,小福樓,新數學研究中心,-電子顯微鏡館-,人類學博物館,土木館,數學館,漁業陳列館,-推廣中心-,動物標本館,植物溫室,積學館,應用力學研究大樓,凝態物理科學館,普通大樓,一號館,博雅館,化學工程館,樂學館,心理南研究大樓,農業陳列館,物理系液氮機室,生化所,貴儀中心氦液化機用電,植物標本館,-新生大樓-,化學館,化學館(不含貴儀中心氦液化機用電),海洋研究所,-城鄉所-
2026-01-01 00:00:00,149.56,36.37,19.63,54.66,25.0,0.0,304.25,2.94,54.33,54.25,73.88,1.75,0.81,6.52,88.91,26.44,0.7,1.25,,1.19,3.2,281.79,106.22,597.76,8.73,76.9,23.43,72.69,4.71,6.06,1.75,0.09,66.4,1.0,2.53,10.97,220.37,219.37,101.2,
2026-01-01 01:00:00,148.37,35.04,19.13,54.78,24.88,0.0,309.68,3.0,55.03,53.82,74.18,1.75,0.81,6.71,85.39,26.25,0.7,1.3,,1.09,3.26,281.29,104.09,594.95,8.94,77.16,22.25,72.63,5.26,5.75,1.81,0.1,67.28,1.06,2.85,10.87,218.77,217.71,97.39,
2026-01-01 02:00:00,146.5,34.93,19.3,54.87,24.62,0.0,308.19,3.0,55.2,53.25,72.8,1.72,0.82,6.33,88.45,24.56,0.72,1.29,,1.05,3.2,278.72,101.85,592.3,10.01,77.5,22.31,72.06,4.9,4.44,1.75,0.1,66.0,1.32,3.09,10.63,221.22,219.9,99.26,
2026-01-01 03:00:00,145.07,35.37,17.88,54.19,23.63,0.0,302.19,2.88,54.46,54.41,71.96,1.75,0.81,6.65,87.98,23.25,0.71,1.3,,1.08,3.45,279.18,100.72,582.69,9.21,75.22,22.5,71.31,4.51,4.37,1.75,0.1,63.72,1.0,2.9,10.34,220.07,219.07,96.92,
2026-01-01 04:00:00,147.0,34.94,18.25,54.41,24.0,0.0,300.31,2.93,54.73,53.58,73.49,1.72,0.81,6.37,82.03,23.25,0.71,1.22,,1.05,3.51,276.82,101.43,584.31,9.84,75.91,22.64,72.38,4.5,4.31,1.56,0.1,65.72,3.31,2.88,10.41,220.95,217.64,99.32,
2026-01-01 05:00:00,145.18,35.47,18.26,54.44,23.62,0.0,301.81,2.88,55.11,53.63,72.67,1.75,0.81,6.37,82.76,22.13,0.72,1.32,,0.99,3.76,278.29,99.63,588.52,10.18,76.25,24.3,70.5,4.5,4.25,1.69,0.11,65.22,1.25,2.85,10.53,219.02,217.77,95.33,
2026-01-01 06:00:00,145.07,35.66,18.93,55.12,23.69,0.0,294.85,2.91,55.33,53.69,71.1,1.5,0.82,6.36,73.87,22.06,0.71,1.37,,0.97,4.19,276.6,101.41,581.24,10.35,77.17,24.19,70.43,3.87,4.13,1.63,0.09,64.25,1.0,2.69,10.34,221.19,220.19,91.77,
2026-01-01 07:00:00,146.37,34.53,18.25,54.91,23.81,0.0,293.12,2.59,55.57,53.85,70.51,1.4,0.81,6.36,82.39,22.0,0.7,1.28,,0.99,4.19,276.64,98.81,582.29,10.28,76.41,25.0,69.88,3.47,4.19,1.87,0.06,63.78,1.06,2.84,9.28,217.76,216.7,90.43,
2026-01-01 08:00:00,146.19,34.12,19.56,53.34,45.25,0.0,293.35,2.72,56.51,55.27,72.31,1.41,0.81,6.69,75.69,22.12,0.7,1.31,,0.96,4.2,274.33,98.56,584.38,5.78,78.79,24.31,69.56,3.49,3.87,1.69,0.04,64.84,1.25,2.93,9.0,222.19,220.94,89.17,
2026-01-01 09:00:00,147.44,34.25,20.25,54.41,40.63,0.0,288.06,2.84,60.36,55.7,72.88,1.4,0.81,6.59,83.07,21.94,0.7,1.3,,0.99,4.2,278.73,100.34,584.8,4.56,83.45,22.5,71.63,3.21,3.88,1.75,0.04,65.38,1.0,3.04,9.25,219.16,218.16,90.08,
