Datetime,紅土網球場,舊體育館,游泳池,新南球場
2026-01-01 00:00:00,0.0,8.57,13.96,0.7
2026-01-01 01:00:00,0.0,8.56,14.8,0.66
2026-01-01 02:00:00,0.0,7.66,20.29,0.78
2026-01-01 03:00:00,0.0,8.78,18.86,0.72
2026-01-01 04:00:00,0.01,10.09,14.94,0.66
2026-01-01 05:00:00,0.0,9.0,14.5,0.9
2026-01-01 06:00:00,0.0,8.75,18.69,0.56
2026-01-01 07:00:00,0.01,9.19,18.34,0.8
2026-01-01 08:00:00,0.0,10.79,13.16,0.68
2026-01-01 09:00:00,0.0,8.03,12.43,0.63
2026-01-01 10:00:00,0.01,7.72,17.22,0.75
2026-01-01 11:00:00,0.0,9.41,17.65,0.51
2026-01-01 12:00:00,0.01,7.18,13.22,0.79
2026-01-01 13:00:00,0.0,7.22,12.91,0.68
2026-01-01 14:00:00,0.0,8.11,15.37,0.82
2026-01-01 15:00:00,0.0,8.22,21.44,0.99
2026-01-01 16:00:00,0.0,7.94,12.83,1.08
2026-01-01 17:00:00,0.0,7.44,13.85,21.01
2026-01-01 18:00:00,0.01,7.57,15.32,19.91
2026-01-01 19:00:00,0.0,7.36,25.06,17.24
2026-01-01 20:00:00,0.01,6.25,14.54,0.59
2026-01-01 21:00:00,0.0,6.87,15.56,0.54
2026-01-01 22:00:00,0.0,8.1,16.18,0.83
2026-01-01 23:00:00,0.01,12.13,22.03,0.61
2026-01-02 00:00:00,0.0,8.76,17.27,0.66
2026-01-02 01:00:00,0.0,7.94,13.94,0.59
2026-01-02 02:00:00,0.01,7.42,13.98,0.73
2026-01-02 03:00:00,0.0,8.84,23.32,0.67
2026-01-02 04:00:00,0.0,8.42,16.83,0.65
2026-01-02 05:00:00,0.0,10.61,14.47,0.8
2026-01-02 06:00:00,0.0,10.3,22.34,0.55
2026-01-02 07:00:00,0.01,12.13,30.46,0.65
2026-01-02 08:00:00,0.0,12.19,24.61,0.86
2026-01-02 09:00:00,0.01,9.59,26.86,0.53
2026-01-02 10:00:00,0.0,9.76,28.55,0.51
2026-01-02 11:00:00,0.0,10.53,19.38,0.47
2026-01-02 12:00:00,0.01,9.97,25.86,0.43
2026-01-02 13:00:00,0.0,10.03,29.44,0.51
2026-01-02 14:00:00,0.0,13.42,26.48,0.76
2026-01-02 15:00:00,0.0,22.1,19.25,0.53
2026-01-02 16:00:00,0.0,25.23,13.78,3.77
2026-01-02 17:00:00,0.01,27.88,38.22,13.5
2026-01-02 18:00:00,0.0,20.21,33.74,12.38
2026-01-02 19:00:00,0.0,29.34,28.22,2.56
2026-01-02 20:00:00,0.01,28.39,28.3,10.72
2026-01-02 21:00:00,0.0,27.05,36.28,10.82
2026-01-02 22:00:00,0.01,17.69,13.64,2.22
2026-01-02 23:00:00,0.0,11.95,13.62,0.66
2026-01-03 00:00:00,0.0,12.01,24.31,0.72
2026-01-03 01:00:00,0.01,8.94,13.73,0.85
2026-01-03 02:00:00,0.0,9.07,13.71,0.65
2026-01-03 03:00:00,0.0,9.52,24.14,0.6
2026-01-03 04:00:00,0.0,9.8,13.85,0.69
2026-01-03 05:00:00,0.0,11.49,13.68,0.59
2026-01-03 06:00:00,0.01,10.21,18.44,0.87
2026-01-03 07:00:00,0.0,9.96,28.8,1.13
2026-01-03 08:00:00,0.0,22.62,24.97,0.4
2026-01-03 09:00:00,0.01,21.22,27.1,0.99
